cota_cm,cota_m,vazao_m3s,rating_curve_id,segment_number,vigencia_inicio,vigencia_fin,coeficiente_a,coeficiente_h0_cm,coeficiente_n
80.0,0.8,184.269,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
81.0,0.81,188.965,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
82.0,0.82,193.72,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
83.0,0.83,198.536,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
84.0,0.84,203.411,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
85.0,0.85,208.346,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
86.0,0.86,213.341,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
87.0,0.87,218.395,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
88.0,0.88,223.51,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
89.0,0.89,228.684,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
90.0,0.9,233.918,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
91.0,0.91,239.211,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
92.0,0.92,244.565,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
93.0,0.93,249.979,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
94.0,0.94,255.452,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
95.0,0.95,260.985,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
96.0,0.96,266.578,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
