codigoestacao,veredicto,n_vigencias,vigencia_min,vigencia_max,huecos_vigencia_post_2000,cota_min_cm,cota_max_cm,n_aforos_desde_2000,aforo_datetime_min,aforo_datetime_max,mape_validacion
17271100,sin_curva,,,,,,,,,,
2753057,sin_curva,,,,,,,,,,
2754026,sin_curva,,,,,,,,,,
56440000,sin_curva,,,,,,,,,,
66400390,usable_sin_validacion,3.0,2015-08-01 00:00:00.0,2023-12-31 00:00:00.0,0.0,30.0,700.0,0.0,,,
66523000,sin_curva,,,,,,,,,,
70100000,sospechosa,6.0,1976-04-21 00:00:00.0,2023-12-31 00:00:00.0,0.0,10.0,650.0,107.0,2000-03-30 07:00:00,2026-03-04 11:09:00,0.8587603643223685
70110000,sin_curva,,,,,,,,,,
70120000,sin_curva,,,,,,,,,,
70150000,sin_curva,,,,,,,,,,
70200000,usable,8.0,1964-06-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,13.0,950.0,103.0,2000-04-07 07:00:00,2025-09-25 11:31:00,0.12613724090497516
70300000,sospechosa,4.0,1942-03-15 00:00:00.0,2026-12-31 00:00:00.0,0.0,15.0,1050.0,102.0,2000-03-31 07:00:00,2026-03-03 10:44:00,1.1100291199667198
70305000,sin_curva,,,,,,,,,,
70305100,sin_curva,,,,,,,,,,
70305110,sin_curva,,,,,,,,,,
70319000,sin_curva,,,,,,,,,,
70319200,sin_curva,,,,,,,,,,
70371000,sin_curva,,,,,,,,,,
70500000,usable,12.0,1944-10-25 00:00:00.0,2026-12-31 00:00:00.0,0.0,43.0,900.0,99.0,2000-04-03 07:00:00,2026-02-25 11:28:00,0.1087177793421456
70580000,sin_curva,,,,,,,,,,
70597000,sin_curva,,,,,,,,,,
70600000,sin_curva,,,,,,,,,,
70610000,sin_curva,,,,,,,,,,
70610500,sin_curva,,,,,,,,,,
70710000,sin_curva,,,,,,,,,,
70719700,sin_curva,,,,,,,,,,
70719750,sin_curva,,,,,,,,,,
70719760,sin_curva,,,,,,,,,,
70719860,sin_curva,,,,,,,,,,
70719960,sin_curva,,,,,,,,,,
70719990,sin_curva,,,,,,,,,,
70720000,sin_curva,,,,,,,,,,
70740000,sin_curva,,,,,,,,,,
70840080,sin_curva,,,,,,,,,,
70841500,sin_curva,,,,,,,,,,
70842000,sin_curva,,,,,,,,,,
70843000,sin_curva,,,,,,,,,,
70843500,sin_curva,,,,,,,,,,
70844200,sin_curva,,,,,,,,,,
70844300,sin_curva,,,,,,,,,,
70844500,sin_curva,,,,,,,,,,
70845000,sin_curva,,,,,,,,,,
71200000,usable,10.0,1957-01-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,40.0,1400.0,97.0,2000-04-14 07:00:00,2026-02-26 09:59:00,0.126534284051683
71250000,usable,6.0,1959-09-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,50.0,1000.0,98.0,2000-04-15 07:00:00,2026-02-23 09:37:00,0.10820914711686627
