station_code,valid_from,valid_to,segment_number,n_segments_reported,curve_type,equation_type,stage_min_cm,stage_max_cm,table_stage_step_cm,coefficient_a,coefficient_h0_cm,coefficient_n,consistency_level,rating_curve_id,valid_from_dt,valid_to_dt
74100000,1948-08-03 00:00:00.0,1951-10-15 00:00:00.0,1,4,1,1,110.0,162.0,1.0,508.9753,0.67,2.455,2,74100000_1948-08-03 00:00:00.0_1951-10-15 00:00:00.0,1948-08-03,1951-10-15
74100000,1948-08-03 00:00:00.0,1951-10-15 00:00:00.0,2,4,1,1,162.0,392.0,1.0,672.9103,0.87,1.43,2,74100000_1948-08-03 00:00:00.0_1951-10-15 00:00:00.0,1948-08-03,1951-10-15
74100000,1948-08-03 00:00:00.0,1951-10-15 00:00:00.0,3,4,1,1,392.0,456.0,1.0,730.7575,0.72,1.3,2,74100000_1948-08-03 00:00:00.0_1951-10-15 00:00:00.0,1948-08-03,1951-10-15
74100000,1948-08-03 00:00:00.0,1951-10-15 00:00:00.0,4,4,1,1,456.0,1800.0,1.0,180.746,-0.71,1.893,2,74100000_1948-08-03 00:00:00.0_1951-10-15 00:00:00.0,1948-08-03,1951-10-15
74100000,1951-10-16 00:00:00.0,1953-09-19 00:00:00.0,1,3,1,1,110.0,390.0,1.0,537.3282,0.65,1.537,2,74100000_1951-10-16 00:00:00.0_1953-09-19 00:00:00.0,1951-10-16,1953-09-19
74100000,1951-10-16 00:00:00.0,1953-09-19 00:00:00.0,2,3,1,1,390.0,456.0,1.0,730.7575,0.72,1.3,2,74100000_1951-10-16 00:00:00.0_1953-09-19 00:00:00.0,1951-10-16,1953-09-19
74100000,1951-10-16 00:00:00.0,1953-09-19 00:00:00.0,3,3,1,1,456.0,1800.0,1.0,180.746,-0.71,1.893,2,74100000_1951-10-16 00:00:00.0_1953-09-19 00:00:00.0,1951-10-16,1953-09-19
74100000,1971-07-05 00:00:00.0,1980-07-31 00:00:00.0,1,4,1,1,80.0,262.0,1.0,263.5476,0.15,2.1,2,74100000_1971-07-05 00:00:00.0_1980-07-31 00:00:00.0,1971-07-05,1980-07-31
74100000,1971-07-05 00:00:00.0,1980-07-31 00:00:00.0,2,4,1,1,262.0,309.0,1.0,605.6734,0.48,1.4,2,74100000_1971-07-05 00:00:00.0_1980-07-31 00:00:00.0,1971-07-05,1980-07-31
74100000,1971-07-05 00:00:00.0,1980-07-31 00:00:00.0,3,4,1,1,309.0,956.0,1.0,918.4537,1.05,1.3,2,74100000_1971-07-05 00:00:00.0_1980-07-31 00:00:00.0,1971-07-05,1980-07-31
74100000,1971-07-05 00:00:00.0,1980-07-31 00:00:00.0,4,4,1,1,956.0,1800.0,1.0,180.746,-0.71,1.893,2,74100000_1971-07-05 00:00:00.0_1980-07-31 00:00:00.0,1971-07-05,1980-07-31
74100000,1980-08-01 00:00:00.0,1992-05-28 00:00:00.0,1,4,1,1,80.0,211.0,1.0,247.2455,0.09,2.25,2,74100000_1980-08-01 00:00:00.0_1992-05-28 00:00:00.0,1980-08-01,1992-05-28
74100000,1980-08-01 00:00:00.0,1992-05-28 00:00:00.0,2,4,1,1,211.0,309.0,1.0,605.6734,0.48,1.4,2,74100000_1980-08-01 00:00:00.0_1992-05-28 00:00:00.0,1980-08-01,1992-05-28
74100000,1980-08-01 00:00:00.0,1992-05-28 00:00:00.0,3,4,1,1,309.0,956.0,1.0,918.4537,1.05,1.3,2,74100000_1980-08-01 00:00:00.0_1992-05-28 00:00:00.0,1980-08-01,1992-05-28
74100000,1980-08-01 00:00:00.0,1992-05-28 00:00:00.0,4,4,1,1,956.0,1800.0,1.0,180.746,-0.71,1.893,2,74100000_1980-08-01 00:00:00.0_1992-05-28 00:00:00.0,1980-08-01,1992-05-28
74100000,1992-05-29 00:00:00.0,2005-10-18 00:00:00.0,1,3,1,1,80.0,252.0,1.0,278.1604,0.16,2.05,2,74100000_1992-05-29 00:00:00.0_2005-10-18 00:00:00.0,1992-05-29,2005-10-18
74100000,1992-05-29 00:00:00.0,2005-10-18 00:00:00.0,2,3,1,1,252.0,1030.0,1.0,408.4412,0.17,1.609,2,74100000_1992-05-29 00:00:00.0_2005-10-18 00:00:00.0,1992-05-29,2005-10-18
74100000,1992-05-29 00:00:00.0,2005-10-18 00:00:00.0,3,3,1,1,1030.0,1800.0,1.0,180.746,-0.71,1.893,2,74100000_1992-05-29 00:00:00.0_2005-10-18 00:00:00.0,1992-05-29,2005-10-18
74100000,2005-10-19 00:00:00.0,2012-10-29 00:00:00.0,1,4,1,1,80.0,209.0,1.0,247.2455,0.09,2.25,2,74100000_2005-10-19 00:00:00.0_2012-10-29 00:00:00.0,2005-10-19,2012-10-29
74100000,2005-10-19 00:00:00.0,2012-10-29 00:00:00.0,2,4,1,1,209.0,278.0,1.0,247.2089,-0.09,2.0,2,74100000_2005-10-19 00:00:00.0_2012-10-29 00:00:00.0,2005-10-19,2012-10-29
74100000,2005-10-19 00:00:00.0,2012-10-29 00:00:00.0,3,4,1,1,278.0,1049.0,1.0,1065.066,1.1,1.25,2,74100000_2005-10-19 00:00:00.0_2012-10-29 00:00:00.0,2005-10-19,2012-10-29
74100000,2005-10-19 00:00:00.0,2012-10-29 00:00:00.0,4,4,1,1,1049.0,1800.0,1.0,180.746,-0.71,1.893,2,74100000_2005-10-19 00:00:00.0_2012-10-29 00:00:00.0,2005-10-19,2012-10-29
74100000,2012-10-30 00:00:00.0,2023-12-31 00:00:00.0,1,3,1,1,80.0,249.0,1.0,290.6657,0.19,2.021,2,74100000_2012-10-30 00:00:00.0_2023-12-31 00:00:00.0,2012-10-30,2023-12-31
74100000,2012-10-30 00:00:00.0,2023-12-31 00:00:00.0,2,3,1,1,249.0,457.0,1.0,628.2628,0.54,1.366,2,74100000_2012-10-30 00:00:00.0_2023-12-31 00:00:00.0,2012-10-30,2023-12-31
74100000,2012-10-30 00:00:00.0,2023-12-31 00:00:00.0,3,3,1,1,457.0,1800.0,1.0,180.746,-0.71,1.893,2,74100000_2012-10-30 00:00:00.0_2023-12-31 00:00:00.0,2012-10-30,2023-12-31
74100000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,1,3,1,1,80.0,249.0,1.0,290.6657,0.19,2.021,1,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
74100000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,2,3,1,1,249.0,457.0,1.0,628.2628,0.54,1.366,1,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
74100000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,3,3,1,1,457.0,1800.0,1.0,180.746,-0.71,1.893,1,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
