station_code,valid_from,valid_to,segment_number,n_segments_reported,curve_type,equation_type,stage_min_cm,stage_max_cm,table_stage_step_cm,coefficient_a,coefficient_h0_m,coefficient_n,consistency_level,rating_curve_id,valid_from_dt,valid_to_dt
70100000,1976-04-21 00:00:00.0,1980-12-29 00:00:00.0,1,3,1,1,10.0,38.0,1.0,39.5718,0.06,1.59,2,70100000_1976-04-21 00:00:00.0_1980-12-29 00:00:00.0,1976-04-21,1980-12-29
70100000,1976-04-21 00:00:00.0,1980-12-29 00:00:00.0,2,3,1,1,38.0,94.0,1.0,52.6537,0.1,1.641,2,70100000_1976-04-21 00:00:00.0_1980-12-29 00:00:00.0,1976-04-21,1980-12-29
70100000,1976-04-21 00:00:00.0,1980-12-29 00:00:00.0,3,3,1,1,94.0,500.0,1.0,49.6279,0.08,1.506,2,70100000_1976-04-21 00:00:00.0_1980-12-29 00:00:00.0,1976-04-21,1980-12-29
70100000,1980-12-30 00:00:00.0,1983-03-02 00:00:00.0,1,3,1,1,20.0,61.0,1.0,47.1378,0.07,1.618,2,70100000_1980-12-30 00:00:00.0_1983-03-02 00:00:00.0,1980-12-30,1983-03-02
70100000,1980-12-30 00:00:00.0,1983-03-02 00:00:00.0,2,3,1,1,61.0,94.0,1.0,52.6537,0.1,1.641,2,70100000_1980-12-30 00:00:00.0_1983-03-02 00:00:00.0,1980-12-30,1983-03-02
70100000,1980-12-30 00:00:00.0,1983-03-02 00:00:00.0,3,3,1,1,94.0,300.0,1.0,49.6279,0.08,1.506,2,70100000_1980-12-30 00:00:00.0_1983-03-02 00:00:00.0,1980-12-30,1983-03-02
70100000,1983-03-03 00:00:00.0,2005-10-17 00:00:00.0,1,3,1,1,10.0,38.0,1.0,39.5718,0.06,1.59,2,70100000_1983-03-03 00:00:00.0_2005-10-17 00:00:00.0,1983-03-03,2005-10-17
70100000,1983-03-03 00:00:00.0,2005-10-17 00:00:00.0,2,3,1,1,38.0,94.0,1.0,52.6537,0.1,1.641,2,70100000_1983-03-03 00:00:00.0_2005-10-17 00:00:00.0,1983-03-03,2005-10-17
70100000,1983-03-03 00:00:00.0,2005-10-17 00:00:00.0,3,3,1,1,94.0,450.0,1.0,49.6279,0.08,1.506,2,70100000_1983-03-03 00:00:00.0_2005-10-17 00:00:00.0,1983-03-03,2005-10-17
70100000,2005-10-18 00:00:00.0,2012-02-19 00:00:00.0,1,3,1,1,10.0,32.0,1.0,76.0,0.0,2.34,2,70100000_2005-10-18 00:00:00.0_2012-02-19 00:00:00.0,2005-10-18,2012-02-19
